dataset,model,C,alpha,seed,order,regime,zero_shot,local_only,held_out,in_sample,parse_fb,file
agnews,mistral,,0.5,42,original,,0.714,0.766,0.712,0.78,0.0298,results_mistral_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed42_order-original.json
agnews,mistral,,0.5,7,original,,0.714,0.733,0.725,0.85,0.0278,results_mistral_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed7_order-original.json
agnews,mistral,,0.5,7,original,,0.714,0.733,0.716,0.81,0.0276,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_seed7_order-original.json
agnews,mistral,,0.5,99,original,,0.714,0.773,0.716,0.82,0.0225,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_seed99_order-original.json
agnews,mistral,,0.5,99,original,,0.714,0.773,0.715,0.82,0.0217,results_mistral_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed99_order-original.json
agnews,phi3,10,0.5,42,original,canonical_full,0.539,0.517,0.526,0.54,0.0173,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C10_seed42_order-original.json
agnews,phi3,3,0.5,13,label_alternating,canonical_full,0.559,0.597,0.564,0.6,0.0134,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-label_alternating.json
agnews,phi3,3,0.5,3,label_alternating,canonical_full,0.559,0.604,0.578,0.55,0.0122,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-label_alternating.json
agnews,phi3,3,0.5,42,label_alternating,canonical_full,0.559,0.539,0.58,0.6,0.0127,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-label_alternating.json
agnews,phi3,3,0.5,7,label_alternating,canonical_full,0.559,0.613,0.577,0.6,0.0138,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-label_alternating.json
agnews,phi3,3,0.5,99,label_alternating,canonical_full,0.559,0.6,0.575,0.58,0.012,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-label_alternating.json
agnews,phi3,3,0.5,13,label_grouped,canonical_full,0.559,0.6,0.574,0.59,0.0125,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-label_grouped.json
agnews,phi3,3,0.5,3,label_grouped,canonical_full,0.559,0.601,0.582,0.59,0.0127,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-label_grouped.json
agnews,phi3,3,0.5,42,label_grouped,canonical_full,0.559,0.539,0.582,0.58,0.0141,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-label_grouped.json
agnews,phi3,3,0.5,7,label_grouped,canonical_full,0.559,0.621,0.583,0.61,0.0125,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-label_grouped.json
agnews,phi3,3,0.5,99,label_grouped,canonical_full,0.559,0.6,0.582,0.56,0.0117,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-label_grouped.json
agnews,phi3,3,0.5,13,original,canonical_full,0.559,0.59,0.579,0.61,0.012,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-original.json
agnews,phi3,3,0.5,3,original,canonical_full,0.559,0.602,0.575,0.58,0.0117,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-original.json
agnews,phi3,3,0.5,42,original,canonical_full,0.539,0.533,0.587,0.6,0.012,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_seed42_order-original.json
agnews,phi3,3,0.5,42,original,canonical_full,0.559,0.535,0.584,0.6,0.0133,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-original.json
agnews,phi3,3,0.5,7,original,canonical_full,0.559,0.617,0.574,0.59,0.0121,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-original.json
agnews,phi3,3,0.5,99,original,canonical_full,0.559,0.599,0.568,0.55,0.0136,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-original.json
agnews,phi3,3,0.5,13,random_shuffle,canonical_full,0.559,0.589,0.589,0.58,0.0125,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-random_shuffle.json
agnews,phi3,3,0.5,3,random_shuffle,canonical_full,0.559,0.61,0.562,0.56,0.0118,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-random_shuffle.json
agnews,phi3,3,0.5,42,random_shuffle,canonical_full,0.559,0.537,0.592,0.6,0.0141,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-random_shuffle.json
agnews,phi3,3,0.5,7,random_shuffle,canonical_full,0.559,0.606,0.575,0.57,0.0118,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-random_shuffle.json
agnews,phi3,3,0.5,99,random_shuffle,canonical_full,0.559,0.6,0.583,0.57,0.0122,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-random_shuffle.json
agnews,phi3,3,0.5,13,similarity_ascending,canonical_full,0.556,0.593,0.574,0.61,0.0117,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_ascending.json
agnews,phi3,3,0.05,13,similarity_ascending,canonical_full,0.559,0.606,0.571,0.58,0.0151,results_phi3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_ascending.json
agnews,phi3,3,0.5,3,similarity_ascending,canonical_full,0.559,0.601,0.569,0.59,0.0116,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_ascending.json
agnews,phi3,3,0.5,42,similarity_ascending,canonical_full,0.559,0.541,0.59,0.63,0.016,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,phi3,3,0.05,42,similarity_ascending,canonical_full,0.559,0.519,0.579,0.62,0.0136,results_phi3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,phi3,3,10.0,42,similarity_ascending,canonical_full,0.559,0.6,0.571,0.57,0.0112,results_phi3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,phi3,3,0.5,7,similarity_ascending,canonical_full,0.556,0.615,0.565,0.57,0.0111,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,phi3,3,0.05,7,similarity_ascending,canonical_full,0.559,0.618,0.572,0.6,0.0168,results_phi3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,phi3,3,10.0,7,similarity_ascending,canonical_full,0.559,0.609,0.594,0.61,0.0095,results_phi3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,phi3,3,0.5,99,similarity_ascending,canonical_full,0.559,0.591,0.575,0.55,0.0121,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,phi3,3,0.5,13,similarity_descending,canonical_full,0.559,0.594,0.576,0.57,0.0119,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,phi3,3,0.05,13,similarity_descending,canonical_full,0.559,0.599,0.576,0.58,0.0161,results_phi3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,phi3,3,0.5,3,similarity_descending,canonical_full,0.559,0.605,0.565,0.54,0.0118,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,phi3,3,0.5,42,similarity_descending,canonical_full,0.559,0.54,0.573,0.57,0.0136,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,phi3,3,0.05,42,similarity_descending,canonical_full,0.559,0.531,0.565,0.57,0.0158,results_phi3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,phi3,3,10.0,42,similarity_descending,canonical_full,0.559,0.618,0.584,0.57,0.0099,results_phi3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,phi3,3,0.5,7,similarity_descending,canonical_full,0.559,0.612,0.574,0.61,0.0113,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,phi3,3,0.05,7,similarity_descending,canonical_full,0.559,0.608,0.568,0.58,0.0173,results_phi3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,phi3,3,10.0,7,similarity_descending,canonical_full,0.559,0.618,0.573,0.53,0.011,results_phi3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,phi3,3,0.5,99,similarity_descending,canonical_full,0.559,0.6,0.558,0.56,0.0101,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,phi3,5,0.5,42,original,canonical_full,0.539,0.508,0.545,0.57,0.0047,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C5_seed42_order-original.json
agnews,phi3,,0.5,13,original,,0.531,0.561,0.567,0.66,0.0146,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed13_order-original.json
agnews,phi3,,0.5,13,original,,0.531,0.561,0.57,0.64,0.0132,results_phi3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed13_order-original.json
agnews,phi3,,0.5,3,original,,0.532,0.619,0.567,0.67,0.0168,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed3_order-original.json
agnews,phi3,,0.5,3,original,,0.532,0.619,0.572,0.69,0.0176,results_phi3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed3_order-original.json
agnews,phi3,,0.5,42,original,,0.531,0.595,0.583,0.69,0.0168,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed42_order-original.json
agnews,phi3,,0.5,42,original,,0.71,0.73,0.76,0.75,0.0242,results_phi3_alpha0.5_K3_T6_seed42_order-original.json
agnews,phi3,,0.5,42,original,,0.531,0.595,0.556,0.6,0.0187,results_phi3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed42_order-original.json
agnews,phi3,,0.5,7,original,,0.531,0.569,0.59,0.75,0.0156,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed7_order-original.json
agnews,phi3,,0.5,7,original,,0.531,0.569,0.562,0.67,0.0132,results_phi3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed7_order-original.json
agnews,phi3,,0.5,99,original,,0.531,0.603,0.569,0.68,0.0125,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed99_order-original.json
agnews,phi3,,0.5,99,original,,0.531,0.603,0.551,0.63,0.0117,results_phi3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed99_order-original.json
dbpedia,llama3,10,0.5,42,original,canonical_full,0.898,0.892,0.88,0.97,0.0036,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C10_dbpedia_seed42_order-original.json
dbpedia,llama3,3,0.5,42,original,canonical_full,0.898,0.929,0.911,0.97,0.0079,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_dbpedia_filter1_C3_seed42_order-original.json
dbpedia,llama3,5,0.5,42,original,canonical_full,0.898,0.929,0.922,0.97,0.0087,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C5_dbpedia_seed42_order-original.json
dbpedia,mistral,10,0.5,42,original,canonical_full,0.89,0.929,0.911,0.98,0.0081,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C10_dbpedia_seed42_order-original.json
dbpedia,mistral,3,0.5,42,original,canonical_full,0.89,0.916,0.901,0.96,0.0143,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_dbpedia_filter1_C3_seed42_order-original.json
dbpedia,mistral,5,0.5,42,original,canonical_full,0.89,0.914,0.891,0.97,0.013,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C5_dbpedia_seed42_order-original.json
dbpedia,phi3,10,0.5,42,original,canonical_full,0.813,0.865,0.013,0.81,0.4528,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C10_dbpedia_seed42_order-original.json
dbpedia,phi3,3,0.5,42,original,canonical_full,0.813,0.819,0.797,0.91,0.0647,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_dbpedia_filter1_C3_seed42_order-original.json
dbpedia,phi3,5,0.5,42,original,canonical_full,0.813,0.82,0.799,0.92,0.0638,results_phi3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C5_dbpedia_seed42_order-original.json
