dataset,model,C,alpha,seed,order,regime,zero_shot,local_only,held_out,in_sample,parse_fb,file
agnews,llama3,3,10.0,3,similarity_ascending,canonical_full,0.767,0.732,0.738,0.75,0.0017,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_ascending.json
agnews,llama3,3,0.5,42,similarity_ascending,canonical_full,0.767,0.729,0.742,0.75,0.0028,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,llama3,3,0.05,42,similarity_ascending,canonical_full,0.767,0.759,0.736,0.78,0.0033,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,llama3,3,10.0,42,similarity_ascending,canonical_full,0.767,0.736,0.736,0.78,0.0022,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,llama3,3,0.5,7,similarity_ascending,canonical_full,0.767,0.733,0.743,0.77,0.0016,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,llama3,3,0.05,7,similarity_ascending,canonical_full,0.767,0.776,0.744,0.76,0.003,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,llama3,3,10.0,7,similarity_ascending,canonical_full,0.767,0.729,0.734,0.78,0.0018,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,llama3,3,0.5,99,similarity_ascending,canonical_full,0.767,0.717,0.735,0.76,0.0023,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,llama3,3,0.05,99,similarity_ascending,canonical_full,0.767,0.719,0.738,0.76,0.0026,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,llama3,3,10.0,99,similarity_ascending,canonical_full,0.767,0.717,0.738,0.77,0.0016,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,llama3,3,0.5,13,similarity_descending,canonical_full,0.767,0.725,0.74,0.75,0.0025,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,llama3,3,0.05,13,similarity_descending,canonical_full,0.767,0.751,0.749,0.76,0.0042,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,llama3,3,10.0,13,similarity_descending,canonical_full,0.767,0.724,0.747,0.73,0.0027,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,llama3,3,0.5,3,similarity_descending,canonical_full,0.767,0.734,0.739,0.76,0.0024,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,llama3,3,0.05,3,similarity_descending,canonical_full,0.767,0.722,0.736,0.77,0.0041,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,llama3,3,10.0,3,similarity_descending,canonical_full,0.767,0.716,0.744,0.75,0.0027,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,llama3,3,0.5,42,similarity_descending,canonical_full,0.767,0.735,0.744,0.76,0.0033,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,llama3,3,0.05,42,similarity_descending,canonical_full,0.767,0.76,0.746,0.76,0.0041,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,llama3,3,10.0,42,similarity_descending,canonical_full,0.767,0.732,0.746,0.76,0.0027,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,llama3,3,0.5,7,similarity_descending,canonical_full,0.767,0.719,0.733,0.78,0.002,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,llama3,3,0.05,7,similarity_descending,canonical_full,0.767,0.766,0.742,0.77,0.0044,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,llama3,3,10.0,7,similarity_descending,canonical_full,0.767,0.73,0.74,0.78,0.0029,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,llama3,3,0.5,99,similarity_descending,canonical_full,0.767,0.728,0.743,0.75,0.0027,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,llama3,3,0.05,99,similarity_descending,canonical_full,0.767,0.729,0.745,0.75,0.003,results_llama3_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,llama3,3,10.0,99,similarity_descending,canonical_full,0.767,0.712,0.748,0.76,0.0032,results_llama3_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,llama3,5,0.5,42,original,canonical_full,0.767,0.736,0.748,0.74,0.0018,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C5_seed42_order-original.json
agnews,llama3,,0.5,,,,0.75,0.8,0.75,0.78,0,results_agnews_baseline_n100.json
agnews,llama3,,0.5,,,,0.72,0.8,0.8,0.79,0,results_agnews_baseline_n100_updated.json
agnews,llama3,,0.5,,,,1.0,1.0,0.95,1.0,0,results_synthetic_saturation_evidence.json
agnews,llama3,,0.5,13,original,,0.747,0.757,0.712,0.79,0.0021,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed13_order-original.json
agnews,llama3,,0.5,13,original,,0.747,0.757,0.711,0.8,0.0021,results_llama3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed13_order-original.json
agnews,llama3,,0.5,3,original,,0.747,0.763,0.722,0.78,0.0013,results_llama3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed3_order-original.json
agnews,llama3,,0.5,3,original,,0.747,0.763,0.721,0.83,0.0013,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed3_order-original.json
agnews,llama3,,0.5,42,original,,0.747,0.711,0.722,0.8,0.0014,results_llama3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed42_order-original.json
agnews,llama3,,0.5,42,original,,0.747,0.711,0.727,0.82,0.0011,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed42_order-original.json
agnews,llama3,,0.5,42,original,,0.74,0.74,0.81,0.81,0.0008,results_llama3_alpha0.5_K3_T6_seed42_order-original.json
agnews,llama3,,0.5,42,original,split8020,0.755,0.776,0.774,0.77,0.0018,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-split8020_filter1_seed42_order-original.json
agnews,llama3,,0.5,7,original,,0.747,0.667,0.749,0.84,0.0014,results_llama3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed7_order-original.json
agnews,llama3,,0.5,7,original,,0.747,0.667,0.754,0.81,0.0017,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed7_order-original.json
agnews,llama3,,0.5,99,original,,0.747,0.708,0.739,0.81,0.0014,results_llama3_variant-fed_icl_alpha0.5_K3_T6_pool250_seed99_order-original.json
agnews,llama3,,0.5,99,original,,0.747,0.708,0.731,0.84,0.0017,results_llama3_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed99_order-original.json
agnews,mistral,10,0.5,42,original,canonical_full,0.719,0.688,0.751,0.82,0.0071,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C10_seed42_order-original.json
agnews,mistral,3,0.5,13,label_alternating,canonical_full,0.736,0.753,0.732,0.79,0.0153,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-label_alternating.json
agnews,mistral,3,0.5,3,label_alternating,canonical_full,0.736,0.739,0.724,0.78,0.0117,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-label_alternating.json
agnews,mistral,3,0.5,42,label_alternating,canonical_full,0.736,0.69,0.734,0.77,0.0144,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-label_alternating.json
agnews,mistral,3,0.5,7,label_alternating,canonical_full,0.736,0.748,0.736,0.78,0.0159,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-label_alternating.json
agnews,mistral,3,0.5,99,label_alternating,canonical_full,0.736,0.734,0.72,0.81,0.0153,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-label_alternating.json
agnews,mistral,3,0.5,13,label_grouped,canonical_full,0.736,0.767,0.732,0.78,0.0141,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-label_grouped.json
agnews,mistral,3,0.5,3,label_grouped,canonical_full,0.736,0.74,0.733,0.8,0.0112,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-label_grouped.json
agnews,mistral,3,0.5,42,label_grouped,canonical_full,0.736,0.695,0.736,0.77,0.0117,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-label_grouped.json
agnews,mistral,3,0.5,7,label_grouped,canonical_full,0.736,0.763,0.729,0.76,0.0149,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-label_grouped.json
agnews,mistral,3,0.5,99,label_grouped,canonical_full,0.736,0.749,0.723,0.79,0.0151,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-label_grouped.json
agnews,mistral,3,0.5,13,original,canonical_full,0.736,0.736,0.73,0.77,0.0148,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-original.json
agnews,mistral,3,0.5,3,original,canonical_full,0.736,0.753,0.726,0.8,0.0151,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-original.json
agnews,mistral,3,0.5,42,original,canonical_full,0.719,0.68,0.73,0.82,0.0146,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_seed42_order-original.json
agnews,mistral,3,0.5,42,original,canonical_full,0.736,0.682,0.715,0.78,0.0128,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-original.json
agnews,mistral,3,0.5,7,original,canonical_full,0.736,0.746,0.737,0.83,0.0149,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-original.json
agnews,mistral,3,0.5,99,original,canonical_full,0.736,0.725,0.721,0.82,0.0145,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-original.json
agnews,mistral,3,0.5,13,random_shuffle,canonical_full,0.736,0.751,0.745,0.81,0.0138,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-random_shuffle.json
agnews,mistral,3,0.5,3,random_shuffle,canonical_full,0.736,0.759,0.74,0.8,0.0132,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-random_shuffle.json
agnews,mistral,3,0.5,42,random_shuffle,canonical_full,0.736,0.697,0.721,0.8,0.0145,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-random_shuffle.json
agnews,mistral,3,0.5,7,random_shuffle,canonical_full,0.736,0.758,0.718,0.79,0.0154,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-random_shuffle.json
agnews,mistral,3,0.5,99,random_shuffle,canonical_full,0.736,0.726,0.73,0.8,0.0161,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-random_shuffle.json
agnews,mistral,3,0.5,13,similarity_ascending,canonical_full,0.736,0.74,0.74,0.82,0.0156,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_ascending.json
agnews,mistral,3,0.05,13,similarity_ascending,canonical_full,0.736,0.733,0.744,0.78,0.0171,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_ascending.json
agnews,mistral,3,10.0,13,similarity_ascending,canonical_full,0.736,0.752,0.733,0.78,0.0152,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_ascending.json
agnews,mistral,3,0.5,3,similarity_ascending,canonical_full,0.736,0.759,0.744,0.84,0.0131,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_ascending.json
agnews,mistral,3,0.05,3,similarity_ascending,canonical_full,0.736,0.735,0.73,0.79,0.0154,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_ascending.json
agnews,mistral,3,10.0,3,similarity_ascending,canonical_full,0.736,0.756,0.755,0.85,0.0143,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_ascending.json
agnews,mistral,3,0.5,42,similarity_ascending,canonical_full,0.736,0.691,0.733,0.8,0.0126,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,mistral,3,0.05,42,similarity_ascending,canonical_full,0.737,0.641,0.73,0.78,0.0186,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,mistral,3,10.0,42,similarity_ascending,canonical_full,0.736,0.754,0.753,0.86,0.0146,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_ascending.json
agnews,mistral,3,0.5,7,similarity_ascending,canonical_full,0.736,0.757,0.74,0.83,0.0152,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,mistral,3,0.05,7,similarity_ascending,canonical_full,0.736,0.694,0.741,0.82,0.0163,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,mistral,3,10.0,7,similarity_ascending,canonical_full,0.736,0.763,0.742,0.82,0.0155,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_ascending.json
agnews,mistral,3,0.5,99,similarity_ascending,canonical_full,0.736,0.726,0.732,0.81,0.0139,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,mistral,3,0.05,99,similarity_ascending,canonical_full,0.736,0.65,0.747,0.82,0.0194,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,mistral,3,10.0,99,similarity_ascending,canonical_full,0.736,0.759,0.725,0.81,0.0142,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_ascending.json
agnews,mistral,3,0.5,13,similarity_descending,canonical_full,0.736,0.736,0.719,0.75,0.0145,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,mistral,3,0.05,13,similarity_descending,canonical_full,0.736,0.72,0.732,0.78,0.0245,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,mistral,3,10.0,13,similarity_descending,canonical_full,0.736,0.756,0.721,0.78,0.0152,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed13_order-similarity_descending.json
agnews,mistral,3,0.5,3,similarity_descending,canonical_full,0.736,0.755,0.729,0.79,0.015,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,mistral,3,0.05,3,similarity_descending,canonical_full,0.736,0.739,0.709,0.77,0.0163,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,mistral,3,10.0,3,similarity_descending,canonical_full,0.736,0.766,0.715,0.82,0.0143,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed3_order-similarity_descending.json
agnews,mistral,3,0.5,42,similarity_descending,canonical_full,0.736,0.693,0.733,0.82,0.0138,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,mistral,3,0.05,42,similarity_descending,canonical_full,0.736,0.663,0.732,0.77,0.017,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,mistral,3,10.0,42,similarity_descending,canonical_full,0.736,0.772,0.728,0.8,0.0116,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed42_order-similarity_descending.json
agnews,mistral,3,0.5,7,similarity_descending,canonical_full,0.736,0.754,0.724,0.77,0.0155,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,mistral,3,0.05,7,similarity_descending,canonical_full,0.736,0.678,0.721,0.77,0.0174,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,mistral,3,10.0,7,similarity_descending,canonical_full,0.736,0.752,0.728,0.79,0.0153,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed7_order-similarity_descending.json
agnews,mistral,3,0.5,99,similarity_descending,canonical_full,0.736,0.728,0.739,0.79,0.0177,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,mistral,3,0.05,99,similarity_descending,canonical_full,0.736,0.638,0.74,0.78,0.0202,results_mistral_variant-fed_icl_alpha0.05_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,mistral,3,10.0,99,similarity_descending,canonical_full,0.736,0.753,0.73,0.8,0.0146,results_mistral_variant-fed_icl_alpha10.0_K3_T6_pool250_regime-canonical_full_filter1_C3_agnews_seed99_order-similarity_descending.json
agnews,mistral,5,0.5,42,original,canonical_full,0.719,0.683,0.736,0.85,0.0147,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_regime-canonical_full_filter1_C5_seed42_order-original.json
agnews,mistral,,0.5,13,original,,0.714,0.715,0.718,0.79,0.0259,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_seed13_order-original.json
agnews,mistral,,0.5,13,original,,0.714,0.715,0.715,0.8,0.0249,results_mistral_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed13_order-original.json
agnews,mistral,,0.5,3,original,,0.714,0.749,0.724,0.8,0.0233,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_seed3_order-original.json
agnews,mistral,,0.5,3,original,,0.714,0.749,0.731,0.79,0.0235,results_mistral_variant-fed_icl_free_alpha0.5_K3_T6_pool250_seed3_order-original.json
agnews,mistral,,0.5,42,original,,0.714,0.766,0.739,0.82,0.0295,results_mistral_variant-fed_icl_alpha0.5_K3_T6_pool250_seed42_order-original.json
agnews,mistral,,0.5,42,original,,0.79,0.77,0.75,0.8,0.0303,results_mistral_alpha0.5_K3_T6_seed42_order-original.json
